,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,vac_rerun,E_vac_rerun,Unnamed: 20,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,site,group,poscar_name,E_vac_min,minimum
0,1,alkaline_earth_metal_oxides,SrO,Fm-3m,,,48.0,-27.05606269,,,,,,s1_0,50.0%,-1285.79098999,1.1262,0.0,3.2748,True,-1285.82981181,,,-1298.69100912,6.93071724000008,1.1262,rattle,s1_0,SrO_Fm-3m_s1_0,alkaline_earth_metal_oxides_SrO_Fm-3m,-1285.79098999,True
1,2,alkaline_earth_metal_oxides,SrO,Fm-3m,,,48.0,-27.05606269,,,,,,s1_0,50.0%,-1285.79098999,1.1262,0.0,3.2748,,,,,-1298.69100912,6.969539059999919,1.1262,rattle,s1_0,SrO_Fm-3m_s1_0,alkaline_earth_metal_oxides_SrO_Fm-3m,-1285.79098999,True
21,23,alkaline_earth_metal_oxides,MgO,Fm-3m,,,80.0,-16.1257185,,,,,,s1_0,-40.0%,-1276.50764355,3.0813999999999995,0.0,4.4292,True,-1276.71313828,,,-1290.0574800000002,7.413861650000102,3.0813999999999995,rattle,s1_0,MgO_Fm-3m_s1_0,alkaline_earth_metal_oxides_MgO_Fm-3m,-1276.50764355,True
22,24,alkaline_earth_metal_oxides,MgO,Fm-3m,,,80.0,-16.1257185,,,,,,s1_0,-40.0%,-1276.50764355,3.0813999999999995,0.0,4.4292,,,,,-1290.0574800000002,7.619356380000157,3.0813999999999995,rattle,s1_0,MgO_Fm-3m_s1_0,alkaline_earth_metal_oxides_MgO_Fm-3m,-1276.50764355,True
35,38,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s6_0,-40.0%,-972.43534879,0.8940999999999999,0.2097698550000002,2.0869,True,-972.55942849,,,-984.4982323800001,6.008323820000145,0.8940999999999999,rattle,s6_0,CaO_Cmce_s6_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.43534879,True
36,39,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s6_0,-40.0%,-972.43534879,0.8940999999999999,0.2097698550000002,2.0869,,,,,-984.4982323800001,6.13240352000007,0.8940999999999999,rattle,s6_0,CaO_Cmce_s6_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.43534879,True
52,55,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s4_0,-60.0%,-972.44195682,0.6704000000000001,0.2097698550000002,2.0869,True,-972.56200407,,,-984.4982323800001,6.005748240000161,0.6704000000000001,rattle,s4_0,CaO_Cmce_s4_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.44195682,True
53,56,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s4_0,-60.0%,-972.44195682,0.6704000000000001,0.2097698550000002,2.0869,,,,,-984.4982323800001,6.125795490000131,0.6704000000000001,rattle,s4_0,CaO_Cmce_s4_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.44195682,True
67,71,alkaline_earth_metal_oxides,BaO,P4__nmm,,,27.0,-75.11705854,,,,,,s2_0,20.0%,-2026.80462278,0.4505999999999996,0.1316646424999996,2.7678000000000003,True,-2026.65792493,,,-2028.16058058,-4.427824420000048,0.4505999999999996,rattle,s2_0,BaO_P4__nmm_s2_0,alkaline_earth_metal_oxides_BaO_P4__nmm,-2026.80462278,True
68,72,alkaline_earth_metal_oxides,BaO,P4__nmm,,,27.0,-75.11705854,,,,,,s2_0,20.0%,-2026.80462278,0.4505999999999996,0.1316646424999996,2.7678000000000003,,,,,-2028.16058058,-4.574522270000058,0.4505999999999996,rattle,s2_0,BaO_P4__nmm_s2_0,alkaline_earth_metal_oxides_BaO_P4__nmm,-2026.80462278,True
