,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,merge_on,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,vr_max,Eb_sum
0,Al2Ge2O7,Al2Ge2O7_Va_O1,3.2978,-2.702367327272727,2.406341895839076,3.103427181710611,5.416601799999976,0,191,Al2Ge2O7_Va_O1191,-2.0,-2.0719793697597826,-2.0719793697597826,1.0359896848798913,-1.502819088333178,9.417029005787377
3,Al2Ge2O7,Al2Ge2O7_Va_O1,3.2978,-2.702367327272727,2.406341895839076,3.103427181710611,3.2180111249679175,1,191,Al2Ge2O7_Va_O1191,-2.0,-2.0719793697597826,-2.0719793697597826,1.0359896848798913,-1.502819088333178,9.417029005787377
6,Al2Ge2O7,Al2Ge2O7_Va_O1,3.2978,-2.702367327272727,2.406341895839076,3.103427181710611,-0.0150423495906109,2,191,Al2Ge2O7_Va_O1191,-2.0,-2.0719793697597826,-2.0719793697597826,1.0359896848798913,-1.502819088333178,9.417029005787377
9,Al2Ge2O7,Al2Ge2O7_Va_O2,3.2978,-2.702367327272727,2.3974576458626684,3.101687405729366,5.411478320000137,0,255,Al2Ge2O7_Va_O2255,-2.0,-2.0948241746062357,-2.0948241746062357,1.047412087303118,-1.502819088333178,9.520857351286564
12,Al2Ge2O7,Al2Ge2O7_Va_O2,3.2978,-2.702367327272727,2.3974576458626684,3.101687405729366,3.139259375311791,1,255,Al2Ge2O7_Va_O2255,-2.0,-2.0948241746062357,-2.0948241746062357,1.047412087303118,-1.502819088333178,9.520857351286564
15,Al2Ge2O7,Al2Ge2O7_Va_O2,3.2978,-2.702367327272727,2.3974576458626684,3.101687405729366,0.1390484039343733,2,255,Al2Ge2O7_Va_O2255,-2.0,-2.0948241746062357,-2.0948241746062357,1.047412087303118,-1.502819088333178,9.520857351286564
18,Al2Ge2O7,Al2Ge2O7_Va_O3,3.2978,-2.702367327272727,2.72604428315262,2.596100957120228,3.8145812599999633,0,287,Al2Ge2O7_Va_O3287,-2.0,-2.0335958997720756,-2.0335958997720756,1.0167979498860378,-1.502819088333178,7.65713745936788
20,Al2Ge2O7,Al2Ge2O7_Va_O3,3.2978,-2.702367327272727,2.72604428315262,2.596100957120228,2.8772777273070815,1,287,Al2Ge2O7_Va_O3287,-2.0,-2.0335958997720756,-2.0335958997720756,1.0167979498860378,-1.502819088333178,7.65713745936788
22,Al2Ge2O7,Al2Ge2O7_Va_O4,3.2978,-2.702367327272727,2.6131783167219456,2.043769290199058,4.388867460000151,0,351,Al2Ge2O7_Va_O4351,-2.0,-2.0179304870522605,-2.0179304870522605,1.0089652435261305,-1.502819088333178,6.485227991403768
25,Al2Ge2O7,Al2Ge2O7_Va_O4,3.2978,-2.702367327272727,2.6131783167219456,2.043769290199058,3.4321292086325075,1,351,Al2Ge2O7_Va_O4351,-2.0,-2.0179304870522605,-2.0179304870522605,1.0089652435261305,-1.502819088333178,6.485227991403768
28,Al2Ge2O7,Al2Ge2O7_Va_O4,3.2978,-2.702367327272727,2.6131783167219456,2.043769290199058,1.0379799850548563,2,351,Al2Ge2O7_Va_O4351,-2.0,-2.0179304870522605,-2.0179304870522605,1.0089652435261305,-1.502819088333178,6.485227991403768
31,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,7.69421869999986,0,269,Al2O3_Va_O1269,-2.0,-2.0020409782327584,-2.0020409782327584,1.0010204891163792,-2.8945619964631555,10.660002835666953
34,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,4.564112179466871,1,269,Al2O3_Va_O1269,-2.0,-2.0020409782327584,-2.0020409782327584,1.0010204891163792,-2.8945619964631555,10.660002835666953
37,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,1.871706257271368,2,269,Al2O3_Va_O1269,-2.0,-2.0020409782327584,-2.0020409782327584,1.0010204891163792,-2.8945619964631555,10.660002835666953
40,Al2PbO4,Al2PbO4_Va_O1,3.8921,-2.89378359,2.273300437305284,2.391473835296565,6.395135430000105,0,191,Al2PbO4_Va_O1191,-2.0,-2.099755903825975,-2.099755903825975,1.0498779519129875,-1.1369603723458594,7.402214831703272
