,formula,Ev,mp_Eg,mp_ehull,Eg,bulk_type,vacancy,space_group,Eb,Vr_max,PT_oxide
0,SrO,6.93071724000008,3.2748,0.0,1.1262,rattle,SrO_Fm-3m_s1_0,Fm-3m,10.455647588229251,-3.067823794114626,alkaline_earth_metal_oxides
0,MgO,7.413861650000102,4.4292,0.0,3.0813999999999995,rattle,MgO_Fm-3m_s1_0,Fm-3m,10.345144576146483,-3.116950431898758,alkaline_earth_metal_oxides
0,CaO,6.008323820000145,2.0869,0.2097698550000002,0.8940999999999999,rattle,CaO_Cmce_s6_0,Cmce,9.183562294153647,-3.2905001259273035,alkaline_earth_metal_oxides
0,CaO,6.005748240000161,2.0869,0.2097698550000002,0.6704000000000001,rattle,CaO_Cmce_s4_0,Cmce,9.183562294153647,-3.2905001259273035,alkaline_earth_metal_oxides
0,BaO,-4.427824420000048,2.7678000000000003,0.1316646424999996,0.4505999999999996,rattle,BaO_P4__nmm_s2_0,P4__nmm,6.78710410259961,-2.8403280769497066,alkaline_earth_metal_oxides
0,BeO,8.057376029999817,8.1681,0.4814747275000002,5.200200000000001,rattle,BeO_Fm-3m_s1_0,Fm-3m,12.235985878829233,-3.156179192239042,alkaline_earth_metal_oxides
0,BeO,8.105094590000066,7.463900000000001,0.0,5.8189,rattle,BeO_P6_3mc_s2_0,P6_3mc,12.235985878829233,-3.156179192239042,alkaline_earth_metal_oxides
0,BaO,6.078645600000231,2.3602000000000003,0.0257656074999994,0.4712999999999994,rattle,BaO_P6_3__mmc_s2_0,P6_3__mmc,10.180656153899415,-2.8403280769497066,alkaline_earth_metal_oxides
0,BeO,7.9476908999999285,7.0846,0.0117376287499997,5.6691,rattle,BeO_P4_2__mnm_s4_0,P4_2__mnm,12.235985878829233,-3.156179192239042,alkaline_earth_metal_oxides
0,CaO,7.345083630000021,3.630100000000001,0.0,1.0502000000000002,rattle,CaO_Fm-3m_s1_0,Fm-3m,11.020274752984378,-3.2905001259273035,alkaline_earth_metal_oxides
0,MgO,7.470412819999796,3.0483,0.3374968550000004,3.1107999999999993,rattle,MgO_P-6m2_s1_0,P-6m2,10.345144576146483,-3.116950431898758,alkaline_earth_metal_oxides
0,MgO,6.669837610000103,3.3701,0.0741400825000004,2.1742999999999997,rattle,MgO_P6_3mc_s2_0,P6_3mc,6.896763050764322,-3.116950431898758,alkaline_earth_metal_oxides
0,Li2O,7.341256009999755,4.854,0.0,2.7459,rattle,Li2O_Fm-3m_s2_0,Fm-3m,12.056796778720049,-3.1005489752967774,alkali_metal_oxides
0,Rb2O,4.5335681799999055,1.3192,0.0031695866666665,0.9381999999999996,rattle,Rb2O_Fm-3m_s5_0,Fm-3m,7.81645095886975,-1.7562254794348755,alkali_metal_oxides
0,Rb2O,4.534036299999956,1.3192,0.0031695866666665,0.9367,rattle,Rb2O_Fm-3m_s4_0,Fm-3m,7.81645095886975,-1.7562254794348755,alkali_metal_oxides
0,K2O,4.932977799999934,1.7072,0.0,1.0683,rattle,K2O_Fm-3m_s5_0,Fm-3m,8.232302709535245,-1.8820736227458112,alkali_metal_oxides
0,K2O,4.935819399999945,1.7072,0.0,1.068,rattle,K2O_Fm-3m_s4_0,Fm-3m,8.232302709535245,-1.8820736227458112,alkali_metal_oxides
0,In2O3,4.089690460000087,,,1.3935999999999993,higher_symmetry,In2O3_Pbca_s32_0,Pbca,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,In2O3,4.063183930000081,,,1.4847,higher_symmetry,In2O3_Pbca_s24_0,Pbca,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,In2O3,4.162431100000207,,,1.4097,higher_symmetry,In2O3_Pbca_s16_0,Pbca,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Tl4O3,2.17076241000011,,,1.3555,higher_symmetry,Tl4O3_P2_1__m_s8_0,P2_1__m,,,group_13_metal_oxides
0,Tl4O3,2.243010610000214,,,1.2695000000000007,higher_symmetry,Tl4O3_P2_1__m_s12_0,P2_1__m,,,group_13_metal_oxides
0,Tl4O3,2.1284305300002178,,,1.4402,higher_symmetry,Tl4O3_P2_1__m_s10_0,P2_1__m,,,group_13_metal_oxides
0,In2O3,4.152154260000019,,,1.3743999999999996,higher_symmetry,In2O3_Ia-3_s16_0,Ia-3,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Tl2O,2.761575830000014,0.5717000000000003,0.0,0.5219999999999994,rattle,Tl2O_R-3m_s5_0,R-3m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
0,Tl2O,2.762018520000014,0.5717000000000003,0.0,0.5200000000000005,rattle,Tl2O_R-3m_s4_0,R-3m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
0,Tl2O3,0.17356975999989466,,,1.2872,higher_symmetry,Tl2O3_Ia-3_s16_0,Ia-3,5.202070280655799,-0.5778080287901701,group_13_metal_oxides
0,Al2O3,7.554029380000133,5.853700000000001,0.0,4.7003,rattle,Al2O3_R-3c_s4_0,R-3c,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.409082650000004,,,3.9857,higher_symmetry,Al2O3_Pna2_1_s18_0,Pna2_1,13.311419385976745,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,6.861971040000002,,,5.05,higher_symmetry,Al2O3_Pna2_1_s19_0,Pna2_1,7.986851631586046,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.235134820000029,,,4.640199999999999,higher_symmetry,Al2O3_Pna2_1_s16_0,Pna2_1,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.377361040000027,,,4.290400000000001,higher_symmetry,Al2O3_Pna2_1_s21_0,Pna2_1,7.986851631586046,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.290227870000011,,,4.722100000000001,higher_symmetry,Al2O3_Pna2_1_s17_0,Pna2_1,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.352256859999942,,,4.436299999999999,higher_symmetry,Al2O3_Pna2_1_s28_0,Pna2_1,7.986851631586046,-2.8945619964631555,group_13_metal_oxides
0,In2O3,4.145293430000196,0.7626999999999997,0.0495181169999998,1.4895000000000005,rattle,In2O3_Pbcn_s8_0,Pbcn,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,In2O3,4.147671070000046,0.7626999999999997,0.0495181169999998,1.4905999999999988,rattle,In2O3_Pbcn_s9_0,Pbcn,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,In2O3,4.018403510000256,0.7626999999999997,0.0495181169999998,1.6546999999999992,rattle,In2O3_Pbcn_s16_0,Pbcn,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Ga2O3,5.251964159999874,2.4025,0.0297935599999963,2.2523,rattle,Ga2O3_R-3c_s4_0,R-3c,9.883090397527349,-1.8812876656363955,group_13_metal_oxides
0,In2O3,4.151322490000142,,,1.2653999999999996,higher_symmetry,In2O3_R-3c_s4_0,R-3c,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Tl2O,2.4290741300002754,0.8411999999999997,0.0028308533333332,0.5395000000000003,rattle,Tl2O_C2__m_s5_0,C2__m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
0,Tl2O,2.430782560000056,0.8411999999999997,0.0028308533333332,0.5393999999999997,rattle,Tl2O_C2__m_s4_0,C2__m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
