,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
0,Al2Co1O4,0009491,1,0.8931711283310174,9.56244944457087,8.540903760015674,-1.2318970816502175,3.1976,6.2195
1,Al2Mg1O4,0009494,1,0.939385720304974,9.711042394277127,9.122414554460159,-2.8945619964631555,5.1431,6.8115
2,Al2Ni1O4,0009499,1,0.871812935982025,9.574237534429107,8.346944134679944,-1.242157708529182,2.6004,6.2466
3,Al2Ni1O4,0009499,1,0.871812935982025,8.49933956007682,7.4098341757787445,-1.242157708529182,2.6004,5.5104
4,Al2O3,0009540,1,0.9566116826940485,10.649135508781395,10.187087438292313,-2.8945619964631555,5.8646,6.995
5,Al2Mn1O4,0009572,1,0.8788416024257444,9.571719524803793,8.412025325148349,-1.994603679653242,3.0524,6.1385
6,Al2O3,0009576,1,0.9566112346568918,10.649135508781395,10.187082667083917,-2.8945619964631555,5.8647,6.995
7,Ba1O1,0009594,1,0.6143456795501768,10.180656153899415,6.254442123134026,-2.8403280769497066,2.095,5.6919
8,Ca1O1,0009596,1,0.7312885197292643,11.020274752984378,8.05900041111973,-3.2905001259273035,3.6404,6.9863
9,Co3O4,0009648,1,0.8710764618159339,,,-1.2318970816502175,1.6478,4.1201
10,Fe1O1,0009684,1,0.7440649767683543,,,-1.41,1.089,5.0763
11,Fe2Mg1O4,0009694,1,0.784298199999532,7.947675654645458,6.233347710118534,-1.2626789622871115,1.3811,4.2252
12,Fe2O3,0009808,1,0.7887046717800215,8.29797985593917,6.5446554787157325,-1.2626789622871115,1.8317,3.5343
13,In2Mn1O4,0009859,1,0.7061597142930023,7.193937193024108,5.080068632867707,-1.5993795332042406,1.035,4.2135
14,In2O3,0009889,1,0.7349027418378841,7.4787590664084815,5.496160543448527,-1.5993795332042406,0.9505,3.7275
15,Co1In2O4,0009921,1,0.710427357201774,7.1846671127911845,5.104184069314741,-1.2318970816502175,1.0102,4.052
16,In2Mg1O4,0009931,1,0.7410175559155412,7.333260062497441,5.434074448404902,-1.5993795332042406,1.8489,4.4126
17,In2Ni1O4,0009944,1,0.7803714661673684,7.196455202649422,5.615908297699316,-1.242157708529182,0.4499,3.6058
18,In2Ni1O4,0009944,1,0.7803714661673684,6.914151338890362,5.395606417632946,-1.242157708529182,0.4499,3.4805
19,Mg1O1,0009973,1,0.869308699906636,10.345144576146483,8.993124181836086,-3.116950431898758,4.4752,6.8887
20,Ni1O1,0010021,1,0.6714392555592507,9.524315417058364,6.394999253341163,-1.242157708529182,2.3894,3.7973
21,O1Sr1,0010079,1,0.6212690611498128,10.455647588229251,6.495770360852492,-3.067823794114626,3.2796,6.5707
22,Ba1O3Ti1,0010375,1,0.8846957092559807,13.398394262108852,11.853501914607653,-1.9122077365342869,1.8599,5.3369
23,Ba1O3Ti1,0010375,1,0.8846957092559807,6.611290159509242,5.8489800367641145,-1.9122077365342869,1.8599,5.4037
24,Co1O1,0010389,1,0.7352495804018006,6.3023912519392935,4.633830523516344,-1.2318970816502175,1.0462,4.2751
25,Mn1O1,0010438,1,0.7213645062721523,6.3394715728709885,4.5730697811904255,-1.994603679653242,0.7035,4.4315
26,Co1O1,0010528,1,0.7488903439530972,6.3023912519392935,4.719799952391808,-1.2318970816502175,1.2341,4.3434
27,O3Sr1Ti1,0010541,1,0.5901811413554363,6.611290159509242,3.9018587721711286,-1.9122077365342869,1.9408,5.396
28,O2Ti1,0010549,1,0.8868614921522668,9.916935239263863,8.794947983870946,-1.9122077365342869,2.2705,4.9268
29,Mn1O1,0010576,1,0.7107847378153,6.3394715728709885,4.505999639810653,-1.994603679653242,0.8642,4.4297
30,O2Ti1,0010720,1,0.8652823434863623,9.916935239263863,8.580948964032723,-1.9122077365342869,1.9186,4.9636
31,O2Ti1,0010731,1,0.9359952825026301,6.611290159509242,6.188136400556711,-1.9122077365342869,3.3933,5.9328
32,Mg1Mn2O4,0011233,1,0.8206565115520293,7.616692432573869,6.2506882412808125,-0.5156224113418986,1.4257,4.1736
33,Fe2Ni1O4,0011580,1,0.7271184139382252,7.810870794797439,5.679427983789518,-1.242157708529182,1.2021,3.7345
34,Fe2Ni1O4,0011580,1,0.7271184139382252,7.810870794797439,5.679427983789518,-1.242157708529182,1.2021,3.5181
35,Mn1O2,0011671,1,0.8974570176182062,6.759374010733628,6.0662476406390144,-0.433744681701679,0.1764,2.0859
36,O2Ti1,0011764,1,0.9050006897691567,9.916935239263863,8.974833231929853,-1.9122077365342869,2.2989,4.9109
37,O2Ti1,0011764,1,0.9050006897691567,9.916935239263863,8.974833231929853,-1.9122077365342869,2.2989,5.3669
