,Unnamed: 0,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Eb_sum_bva_nn,Vr_max,Eg,Ev,Ehull
4,4,Al2O3,0009540,1,0.9566116826940484,10.649135508781397,10.187087438292313,10.187087438292313,-2.8945619964631555,5.8646,6.995,0.0
6,6,Al2O3,0009576,1,0.9566112346568918,10.649135508781397,10.187082667083915,10.187082667083915,-2.8945619964631555,5.8647,6.995,0.0
11,11,Fe2Mg1O4,0009694,1,0.784298199999532,7.947675654645458,6.233347710118534,6.233347710118534,-1.2626789622871115,1.3811,4.2252,0.0417
24,24,Co1O1,0010389,1,0.7352495804018006,6.3023912519392935,4.633830523516344,4.633830523516344,-1.2318970816502175,1.0462,4.2751,0.0020999999999999
25,25,Mn1O1,0010438,1,0.7213645062721523,6.3394715728709885,4.5730697811904255,4.573069781190425,-1.994603679653242,0.7035,4.4315,0.0015999999999998
26,26,Co1O1,0010528,1,0.7488903439530972,6.3023912519392935,4.719799952391808,4.719799952391808,-1.2318970816502175,1.2341,4.3434,0.0
28,28,O2Ti1,0010549,1,0.8868614921522668,9.916935239263864,8.794947983870946,8.794947983870946,-1.9122077365342869,2.2705,4.9268,0.0
29,29,Mn1O1,0010576,1,0.7107847378153,6.3394715728709885,4.505999639810653,4.505999639810653,-1.994603679653242,0.8642,4.4297,0.0
30,30,O2Ti1,0010720,1,0.8652823434863623,9.916935239263864,8.580948964032723,8.580948964032723,-1.9122077365342869,1.9186,4.9636,0.0209000000000001
31,31,O2Ti1,0010731,1,0.93599528250263,6.611290159509242,6.188136400556711,6.188136400556711,-1.9122077365342869,3.3933,5.9328,0.0842
35,35,Mn1O2,0011671,1,0.8974570176182062,6.759374010733628,6.0662476406390144,6.06624764063902,-0.433744681701679,0.1764,2.0859,0.0210999999999998
36,36,O2Ti1,0011764,1,0.9050006897691568,9.916935239263864,8.974833231929853,8.974833231929853,-1.9122077365342869,2.2989,4.9109,0.0131999999999998
37,37,O2Ti1,0011764,1,0.9050006897691568,9.916935239263864,8.974833231929853,8.974833231929853,-1.9122077365342869,2.2989,5.3669,0.0131999999999998
40,40,Fe2Mg1O4,0011911,1,0.8590430582656551,7.597371453351746,6.526469208067468,6.526469208067468,-1.2626789622871115,1.1513,3.8945,0.0
41,41,Fe2Mg1O4,0011911,1,0.8590430582656551,7.947675654645458,6.827395600470126,6.827395600470126,-1.2626789622871115,1.1513,3.772,0.0
42,42,Mn1Ni1O3,0012011,1,0.8031871851741935,7.6810211461752065,6.169297753659922,6.1692977536599205,-0.433744681701679,1.5539,2.704,0.0143999999999999
43,43,Mn1Ni1O3,0012072,1,0.8161126787067305,7.6810211461752065,6.26857874280809,6.268578742808089,-0.433744681701679,1.513,2.8808,0.0
164,164,La2O3,0111542,1,0.796427297234365,11.780942486549932,9.382664183436464,9.382664183436464,-3.100471243274967,3.4842,6.5007,0.0
228,228,Mn1O2,0125667,1,0.8949474215036711,6.759374010733628,6.049284341884988,6.049284341884988,-0.433744681701679,1.3886,2.7443,0.0
229,229,Mn1O2,0125667,1,0.8949474215036711,6.759374010733628,6.049284341884988,6.049284341884988,-0.433744681701679,1.3886,2.145,0.0
232,232,La1Mn1O3,0126619,1,0.8246744842206066,9.818805689863492,8.097318517950534,8.097318517950534,-0.5156224113418986,1.0121,3.7311,0.0
233,233,La1Mn1O3,0126619,1,0.8246744842206066,12.764041311500977,10.526179185132582,10.526179185132582,-0.5156224113418986,1.0121,4.034,0.0
498,498,La1Mn1O3,0289876,1,0.7545158088255968,9.818805689863492,7.408444116788724,7.408444116788723,-0.5156224113418986,1.1781,3.9265,0.0277000000000002
499,499,La1Mn1O3,0289876,1,0.7545158088255968,12.764041311500977,9.630670954030489,9.630670954030489,-0.5156224113418986,1.1781,3.8986,0.0277000000000002
502,502,La2O3,0289934,1,0.4665214876490167,17.6714137298249,8.24409422209917,8.24409422209917,-3.100471243274967,4.0199,6.3604,0.0274999999999998
503,503,La2O3,0289934,1,0.4665214876490167,11.780942486549932,5.49606281473278,5.496062814732779,-3.100471243274967,4.0199,6.7049,0.0274999999999998
514,514,Nb2O5,0290102,1,0.9068540347400528,9.565386011432926,8.674408898314008,8.674408898314008,-1.6041816447738562,2.6936,5.3318,0.0035000000000002
515,515,Nb2O5,0290102,1,0.9068540347400528,9.565386011432926,8.674408898314008,8.674408898314008,-1.6041816447738562,2.6936,4.7876,0.0035000000000002
516,516,Nb2O5,0290102,1,0.9068540347400528,14.348079017149388,13.011613347471013,13.011613347471013,-1.6041816447738562,2.6936,5.8008,0.0035000000000002
517,517,Nb2O5,0290125,1,0.9400559385445392,9.565386011432926,8.991997924518385,8.991997924518385,-1.6041816447738562,2.0917,5.8598,0.0
518,518,Nb2O5,0290125,1,0.9400559385445392,14.348079017149388,13.487996886777577,13.487996886777577,-1.6041816447738562,2.0917,5.3219,0.0
519,519,Nb2O5,0290125,1,0.9400559385445392,9.565386011432926,8.991997924518385,8.991997924518385,-1.6041816447738562,2.0917,4.3313,0.0
