,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,group,poscar_name,vacancy_poscar_name,E_vac_min,minimum
0,1,alkaline_earth_metal_oxides,SrO,Fm-3m,,,48.0,-27.05606269,,,,,,s1_0,50.0%,-1285.79098999,1.1262,0.0,3.2748,,-1298.69100912,6.969539059999919,1.1262,rattle,SrO_Fm-3m_s1_0,alkaline_earth_metal_oxides_SrO_Fm-3m,alkaline_earth_metal_oxides_SrO_Fm-3m_s1_0_50.0%,-1285.79098999,True
20,22,alkaline_earth_metal_oxides,MgO,Fm-3m,,,80.0,-16.1257185,,,,,,s1_0,-40.0%,-1276.50764355,3.0813999999999995,0.0,4.4292,,-1290.0574800000002,7.619356380000157,3.0813999999999995,rattle,MgO_Fm-3m_s1_0,alkaline_earth_metal_oxides_MgO_Fm-3m,alkaline_earth_metal_oxides_MgO_Fm-3m_s1_0_-40.0%,-1276.50764355,True
33,36,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s6_0,-40.0%,-972.43534879,0.8940999999999999,0.2097698550000002,2.0869,,-984.4982323800001,6.13240352000007,0.8940999999999999,rattle,CaO_Cmce_s6_0,alkaline_earth_metal_oxides_CaO_Cmce,alkaline_earth_metal_oxides_CaO_Cmce_s6_0_-40.0%,-972.43534879,True
49,52,alkaline_earth_metal_oxides,CaO,Cmce,,,13.0,-75.73063326,,,,,,s4_0,-60.0%,-972.44195682,0.6704000000000001,0.2097698550000002,2.0869,,-984.4982323800001,6.125795490000131,0.6704000000000001,rattle,CaO_Cmce_s4_0,alkaline_earth_metal_oxides_CaO_Cmce,alkaline_earth_metal_oxides_CaO_Cmce_s4_0_-60.0%,-972.44195682,True
63,67,alkaline_earth_metal_oxides,BaO,P4__nmm,,,27.0,-75.11705854,,,,,,s2_0,20.0%,-2026.80462278,0.4505999999999996,0.1316646424999996,2.7678000000000003,,-2028.16058058,-4.574522270000058,0.4505999999999996,rattle,BaO_P4__nmm_s2_0,alkaline_earth_metal_oxides_BaO_P4__nmm,alkaline_earth_metal_oxides_BaO_P4__nmm_s2_0_20.0%,-2026.80462278,True
66,71,alkaline_earth_metal_oxides,BeO,Fm-3m,,,96.0,-16.29098091,,,,,,s1_0,60.0%,-1549.74659251,5.200200000000001,0.4814747275000002,8.1681,,-1563.9341673599997,8.257094779999692,5.200200000000001,rattle,BeO_Fm-3m_s1_0,alkaline_earth_metal_oxides_BeO_Fm-3m,alkaline_earth_metal_oxides_BeO_Fm-3m_s1_0_60.0%,-1549.74659251,True
88,94,alkaline_earth_metal_oxides,BeO,P6_3mc,,,60.0,-32.61210132,,,,,,s2_0,-60.0%,-1942.45593351,5.8189,0.0,7.463900000000001,,-1956.7260792,8.339665619999936,5.8189,rattle,BeO_P6_3mc_s2_0,alkaline_earth_metal_oxides_BeO_P6_3mc,alkaline_earth_metal_oxides_BeO_P6_3mc_s2_0_-60.0%,-1942.45593351,True
97,104,alkaline_earth_metal_oxides,BaO,P6_3__mmc,,,24.0,-75.57975451,,,,,,s2_0,30.0%,-1802.05000891,0.4712999999999994,0.0257656074999994,2.3602000000000003,,-1813.9141082400001,5.933619260000045,0.4712999999999994,rattle,BaO_P6_3__mmc_s2_0,alkaline_earth_metal_oxides_BaO_P6_3__mmc,alkaline_earth_metal_oxides_BaO_P6_3__mmc_s2_0_30.0%,-1802.05000891,True
110,118,alkaline_earth_metal_oxides,BeO,P4_2__mnm,,,12.0,-65.09929915,,,,,,s4_0,30.0%,-766.77101073,5.6691,0.0117376287499997,7.0846,,-781.1915898,8.490099000000031,5.6691,rattle,BeO_P4_2__mnm_s4_0,alkaline_earth_metal_oxides_BeO_P4_2__mnm,alkaline_earth_metal_oxides_BeO_P4_2__mnm_s4_0_30.0%,-766.77101073,True
117,126,alkaline_earth_metal_oxides,CaO,Fm-3m,,,48.0,-19.45423252,,,,,,s1_0,50.0%,-920.38822229,1.0502000000000002,0.0,3.630100000000001,,-933.80316096,7.48445859999997,1.0502000000000002,rattle,CaO_Fm-3m_s1_0,alkaline_earth_metal_oxides_CaO_Fm-3m,alkaline_earth_metal_oxides_CaO_Fm-3m_s1_0_50.0%,-920.38822229,True
