,Unnamed: 0,defectname,site,charge,dH_eV,2+/1+,1+/0,0/1-,1-/2-,2-/3-,3-/4-,formula,bandgap_eV,dH_eV_per_atom,electron_effective_mass,level_theory,filename,defectid,poscar,structure,min_dH,adjusted_dH,is_binary_or_ternary
4,4,V_O,1,0,6.995,,,,,,,Al2O3,5.8646,-3.4386,1.761,DFT_PBE_U,NREL_MatDb.0009540,0009540,"
1.0
  0.257957341 3.657967978 3.657968043
  3.657967831 0.257957338 3.657968055
  3.657967845 3.657968004 0.257957328
 Al  O 
4 6 
direct
    0.0002131000000000   0.0002130900000000   0.0002130800000000
    0.7957859900000001   0.7957860100000004   0.7957860100000003
    0.2957859899999999   0.2957860000000000   0.2957860100000001
    0.5002130999999999   0.5002130800000002   0.5002130800000001
    0.7041140500000000   0.0918866000000001   0.3980002600000002
    0.3980002600000001   0.7041140400000001   0.0918865999999999
    0.0918865999999999   0.3980002700000001   0.7041140500000002
    0.8980002599999999   0.5918866100000001   0.2041140400000001
    0.5918865899999998   0.2041140500000004   0.8980002700000002
    0.2041140499999999   0.8980002500000003   0.5918866000000002
","Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   5.179575   5.179575   5.179575
angles:  55.312217  55.312215  55.312214
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al3+  0.000213  0.000213  0.000213
  1  Al3+  0.795786  0.795786  0.795786
  2  Al3+  0.295786  0.295786  0.295786
  3  Al3+  0.500213  0.500213  0.500213
  4  O2-   0.704114  0.091887  0.398
  5  O2-   0.398     0.704114  0.091887
  6  O2-   0.091887  0.398     0.704114
  7  O2-   0.898     0.591887  0.204114
  8  O2-   0.591887  0.204114  0.898
  9  O2-   0.204114  0.898     0.591887",-3.4386,0.0,True
6,6,V_O,1,0,6.995,,,,,,,Al2O3,5.8647,-3.4386,1.761,DFT_PBE_U,NREL_MatDb.0009576,0009576,"
1.0
  0.257976488 3.657979221 3.657979176
  3.657979189 0.257976517 3.65797915
  3.657979221 3.657979226 0.25797648
 Al  O 
4 6 
direct
    0.0002132100000000   0.0002132100000000   0.0002132000000000
    0.7957859199999996   0.7957858900000000   0.7957859000000000
    0.2957859199999999   0.2957858899999999   0.2957858900000000
    0.5002131899999996   0.5002131999999999   0.5002132200000001
    0.7041119899999999   0.0918885800000000   0.3980003400000000
    0.3980003399999998   0.7041119899999999   0.0918885500000000
    0.0918885599999999   0.3980003199999999   0.7041120100000000
    0.8980003299999999   0.5918885699999998   0.2041119900000000
    0.5918885599999997   0.2041120000000000   0.8980003200000001
    0.2041119899999997   0.8980003400000000   0.5918885800000002
","Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   5.179592   5.179592   5.179592
angles:  55.311880  55.311880  55.311881
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al3+  0.000213  0.000213  0.000213
  1  Al3+  0.795786  0.795786  0.795786
  2  Al3+  0.295786  0.295786  0.295786
  3  Al3+  0.500213  0.500213  0.500213
  4  O2-   0.704112  0.091889  0.398
  5  O2-   0.398     0.704112  0.091889
  6  O2-   0.091889  0.398     0.704112
  7  O2-   0.898     0.591889  0.204112
  8  O2-   0.591889  0.204112  0.898
  9  O2-   0.204112  0.898     0.591889",-3.4386,0.0,True
11,11,V_O,1,0,4.2252,,,,,,,Fe2Mg1O4,1.3811,-2.1184,6.973,DFT_PBE_U,NREL_MatDb.0009694,0009694,"
1.0
  1.289e-06 4.252580927 4.281512878
  4.252591278 1.295e-06 4.281512874
  4.252590732 4.252580374 1.828e-06
 Fe  Mg  O 
4 2 8 
direct
    0.6250000199999997   0.6250000200000000   0.1250000300000002
    0.6250000199999995   0.6250000200000001   0.6250000100000003
    0.6250000199999998   0.1250000300000001   0.6250000200000001
    0.1250000299999997   0.6250000200000001   0.6250000200000001
    0.0000007200000000   0.0000007400000000   0.0000005900000000
    0.2499993299999999   0.2499993200000001   0.2499994600000000
    0.8639882199999995   0.8639885400000001   0.8659286400000001
    0.8639887299999996   0.8639884200000001   0.4060942100000000
    0.8659286399999997   0.4060943100000002   0.8639883300000001
    0.4060943099999997   0.8659286400000002   0.8639886400000001
    0.8439057299999998   0.3840714000000001   0.3860114000000001
    0.3860113099999996   0.3860116200000001   0.8439058300000001
    0.3860118299999998   0.3860115100000002   0.3840714100000001
    0.3840713999999997   0.8439057200000002   0.3860117100000000
","Full Formula (Mg2 Fe4 O8)
Reduced Formula: Mg(FeO2)2
abc   :   6.034550   6.034558   6.014064
angles:  60.112167  60.112288  59.775477
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Fe3+  0.625     0.625     0.125
  1  Fe3+  0.625     0.625     0.625
  2  Fe3+  0.625     0.125     0.625
  3  Fe3+  0.125     0.625     0.625
  4  Mg2+  1e-06     1e-06     1e-06
  5  Mg2+  0.249999  0.249999  0.249999
  6  O2-   0.863988  0.863989  0.865929
  7  O2-   0.863989  0.863988  0.406094
  8  O2-   0.865929  0.406094  0.863988
  9  O2-   0.406094  0.865929  0.863989
 10  O2-   0.843906  0.384071  0.386011
 11  O2-   0.386011  0.386012  0.843906
 12  O2-   0.386012  0.386012  0.384071
 13  O2-   0.384071  0.843906  0.386012",-2.1601,0.0417,True
24,24,V_O,1,0,4.2751,,,,,,,Co1O1,1.0462,-1.4573,1.256,DFT_PBE_U,NREL_MatDb.0010389,0010389,"
1.0
  -1.5e-08 -5.629621457 2.22e-07
  3.269597276 6e-09 1.21e-07
  1.95e-07 -2.07e-07 5.276954496
 Co  O 
4 4 
direct
    0.0000712100000000   0.9999999899999998   0.0001916400000000	+2
    0.3332620900000001   0.9999999999999999   0.5001916300000000	+2
    0.8332621000000002   0.4999999900000000   0.5001916199999999	+2
    0.5000712000000002   0.5000000000000000   0.0001916300000000	+2
    0.3329391300000000   0.0000000100000000   0.8790385700000000	-2
    0.8329391500000001   0.4999999999999999   0.8790385799999999	-2
    0.0003941700000000   0.0000000100000000   0.3790385600000000	-2
    0.5003941500000000   0.5000000099999999   0.3790385700000000	-2
","Full Formula (Co4 O4)
Reduced Formula: CoO
abc   :   5.629621   3.269597   5.276954
angles:  89.999996  89.999995  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a    b         c
---  ----  --------  ---  --------
  0  Co2+  7.1e-05   1    0.000192
  1  Co2+  0.333262  1    0.500192
  2  Co2+  0.833262  0.5  0.500192
  3  Co2+  0.500071  0.5  0.000192
  4  O2-   0.332939  0    0.879039
  5  O2-   0.832939  0.5  0.879039
  6  O2-   0.000394  0    0.379039
  7  O2-   0.500394  0.5  0.379039",-1.4594,0.0020999999999999,True
25,25,V_O,1,0,4.4315,,,,,,,Mn1O1,0.7035,-2.0487,1.412,DFT_PBE_U,NREL_MatDb.0010438,0010438,"
1.0
  2.430547177 -2.430547005 -1.46e-07
  2.430526381 2.430526207 1.71e-07
  1.8e-08 3.03e-07 4.589331443
 Mn  O 
2 2 
direct
    0.0000000399999999   0.9999999899999999   0.9999304999999999	+2
    0.4999999900000001   0.5000000100000002   0.4999304800000000	+2
    0.9999999500000001   0.5000000100000001   0.2499346600000000	-2
    0.5000000099999999   0.9999999900000001   0.7499346700000000	-2
","Full Formula (Mn2 O2)
Reduced Formula: MnO
abc   :   3.437313   3.437283   4.589331
angles:  89.999994  90.000005  89.999996
pbc   :       True       True       True
Sites (4)
  #  SP      a    b         c
---  ----  ---  ---  --------
  0  Mn2+  0    1    0.99993
  1  Mn2+  0.5  0.5  0.49993
  2  O2-   1    0.5  0.249935
  3  O2-   0.5  1    0.749935",-2.0503,0.0015999999999998,True
26,26,V_O,1,0,4.3434,,,,,,,Co1O1,1.2341,-1.4594,1.653,DFT_PBE_U,NREL_MatDb.0010528,0010528,"
1.0
  4.573858188 0.000173658 -9.7079e-05
  0.000173678 4.573802975 -0.000106757
  2.286918466 2.286881214 4.603507807
 Co  O 
4 4 
direct
    0.9999979300000000   0.0000005799999999   0.9999443600000001
    0.2499883199999999   0.7499867500000000   0.4999348400000000
    0.4999979300000000   0.5000005800000000   0.9999443600000000
    0.7499883200000000   0.2499867600000000   0.4999348300000001
    0.1250261800000000   0.1250244400000000   0.2499186600000000
    0.6250261599999999   0.6250250800000000   0.2499186600000000
    0.8749879100000001   0.3749879199999999   0.7499325400000000
    0.3749872599999999   0.8749878900000000   0.7499325500000000
","Full Formula (Co4 O4)
Reduced Formula: CoO
abc   :   4.573858   4.573803   5.626020
angles:  66.016142  66.015618  89.995649
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Co2+  0.999998  1e-06     0.999944
  1  Co2+  0.249988  0.749987  0.499935
  2  Co2+  0.499998  0.500001  0.999944
  3  Co2+  0.749988  0.249987  0.499935
  4  O2-   0.125026  0.125024  0.249919
  5  O2-   0.625026  0.625025  0.249919
  6  O2-   0.874988  0.374988  0.749933
  7  O2-   0.374987  0.874988  0.749933",-1.4594,0.0,True
28,28,V_O,1,0,4.9268,,,,,,,O2Ti1,2.2705,-3.2746,1.759,DFT_PBE_U,NREL_MatDb.0010549,0010549,"
1.0
  3.82912534 -9.618e-06 -7.3413e-05
  -9.619e-06 3.82912548 -7.2037e-05
  1.91446429 1.914461166 4.874143577
 Ti  O 
2 4 
direct
    0.8749714800000002   0.6250287500000002   0.2499999800000000
    0.1250285200000001   0.3749712500000000   0.7500000200000000
    0.9185365900000002   0.1685629200000000   0.1628891400000000
    0.6685628200000002   0.4185362400000001   0.6628891400000000
    0.0814634000000000   0.8314370800000003   0.8371108700000001
    0.3314371800000001   0.5814637700000000   0.3371108400000000
","Full Formula (Ti2 O4)
Reduced Formula: TiO2
abc   :   3.829125   3.829125   5.575626
angles:  69.919186  69.919171  90.000288
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ti4+  0.874971  0.625029  0.25
  1  Ti4+  0.125029  0.374971  0.75
  2  O2-   0.918537  0.168563  0.162889
  3  O2-   0.668563  0.418536  0.662889
  4  O2-   0.081463  0.831437  0.837111
  5  O2-   0.331437  0.581464  0.337111",-3.2746,0.0,True
29,29,V_O,1,0,4.4297,,,,,,,Mn1O1,0.8642,-2.0503,1.161,DFT_PBE_U,NREL_MatDb.0010576,0010576,"
1.0
  3e-09 -5.801807299 0.000207201
  3.446060234 -3e-09 9e-08
  1.46e-07 -0.000195444 5.463064719
 Mn  O 
4 4 
direct
    0.9899295600000001   0.9999999500000000   0.9998345900000000	+2
    0.3433880300000000  -0.0000000000000000   0.4998324599999999	+2
    0.4899296400000000   0.4999999500000000   0.9998348900000000	+2
    0.8433879500000001   0.5000000400000000   0.4998327700000000	+2
    0.3280170499999999   0.9999999699999997   0.8793962700000000	-2
    0.0053319500000000   0.0000000400000000   0.3793968600000000	-2
    0.8280173500000000   0.4999999899999999   0.8793961999999999	-2
    0.5053316700000000   0.5000000699999999   0.3793967600000000	-2
","Full Formula (Mn4 O4)
Reduced Formula: MnO
abc   :   5.801807   3.446060   5.463065
angles:  89.999997  89.995904  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a     b         c
---  ----  --------  ----  --------
  0  Mn2+  0.98993    1    0.999835
  1  Mn2+  0.343388  -0    0.499832
  2  Mn2+  0.48993    0.5  0.999835
  3  Mn2+  0.843388   0.5  0.499833
  4  O2-   0.328017   1    0.879396
  5  O2-   0.005332   0    0.379397
  6  O2-   0.828017   0.5  0.879396
  7  O2-   0.505332   0.5  0.379397",-2.0503,0.0,True
30,30,V_O,1,0,4.9636,,,,,,,O2Ti1,1.9186,-3.2537,7.375,DFT_PBE_U,NREL_MatDb.0010720,0010720,"
1.0
  3.294857864 2.329665221 2.32966528
  3.294857851 -2.329665113 -2.329665357
  6.1e-08 2.117603592 -2.117603646
 Ti  O 
2 4 
direct
    0.9999998400000001   0.0000001600000000   0.0000000000000001
    0.5000001400000000   0.4999996700000000   0.5000000000000000
    0.8048991700000000   0.1951008600000000   0.5000000300000002
    0.1951009100000000   0.8048991200000001   0.4999999700000002
    0.6950991700000000   0.6950992900000001   0.9999999900000001
    0.3049007700000000   0.3049009000000000   0.0000000100000000
","Full Formula (Ti2 O4)
Reduced Formula: TiO2
abc   :   4.659482   4.659482   2.994744
angles:  89.999997  90.000000  89.996284
pbc   :       True       True       True
Sites (6)
  #  SP           a         b    c
---  ----  --------  --------  ---
  0  Ti4+  1         0         0
  1  Ti4+  0.5       0.5       0.5
  2  O2-   0.804899  0.195101  0.5
  3  O2-   0.195101  0.804899  0.5
  4  O2-   0.695099  0.695099  1
  5  O2-   0.304901  0.304901  0",-3.2746,0.0209000000000001,True
31,31,V_O,1,0,5.9328,,,,,,,O2Ti1,3.3933,-3.1904,3.026,DFT_PBE_U,NREL_MatDb.0010731,0010731,"
1.0
  2.898291218 -5.02005957 -0.000662563
  2.898501135 5.020180349 0.000565798
  -0.000102986 0.000813276 6.372511597
 Ti  O 
3 6 
direct
    0.4965854000000000   0.4965747400000000   0.0000060300000000
    0.5034884400000000   0.9999244999999999   0.3333287400000000
    0.9999352600000000   0.5035098099999998   0.6666655000000000
    0.2067917800000001   0.4264790399999999   0.8382011600000000
    0.4264541800000000   0.2067528400000000   0.1617746500000000
    0.7804389600000000   0.5737840000000000   0.8284742000000000
    0.5737742800000000   0.7804085899999998   0.1715615600000000
    0.7930992600000000   0.2194499600000000   0.4953364700000000
    0.2194324400000000   0.7931165400000000   0.5046516800000000
","Full Formula (Ti3 O6)
Reduced Formula: TiO2
abc   :   5.796645   5.796854   6.372512
angles:  89.988538  90.013345 119.999511
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ti4+  0.496585  0.496575  6e-06
  1  Ti4+  0.503488  0.999924  0.333329
  2  Ti4+  0.999935  0.50351   0.666666
  3  O2-   0.206792  0.426479  0.838201
  4  O2-   0.426454  0.206753  0.161775
  5  O2-   0.780439  0.573784  0.828474
  6  O2-   0.573774  0.780409  0.171562
  7  O2-   0.793099  0.21945   0.495336
  8  O2-   0.219432  0.793117  0.504652",-3.2746,0.0842,True
