,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
0,Al2Co1O4,0009491,1,0.8931711283310174,9.534903455138679,8.51630047755353,-1.2318970816502175,3.1976,6.2195
1,Al2Mg1O4,0009494,1,0.939385720304974,9.578291759611357,8.997710503893712,-2.8945619964631555,5.1431,6.8115
2,Al2Ni1O4,0009499,1,0.871812935982025,9.044684796584825,7.885273207542601,-1.242157708529182,2.6004,6.2466
4,Al2Ni1O4,0009499,2,0.8959392260699179,9.044684796584825,8.10348789669856,-1.242157708529182,2.6004,5.5104
6,Al2O3,0009540,1,0.9566116826940485,10.268287578405296,9.822763858764686,-2.8945619964631555,5.8646,6.995
7,Al2Mn1O4,0009572,1,0.8788416024257444,9.562364914962581,8.403804104845431,-1.994603679653242,3.0524,6.1385
8,Al2O3,0009576,1,0.9566112346568918,10.268287578405296,9.822759258190315,-2.8945619964631555,5.8647,6.995
9,Ba1O1,0009594,1,0.6143456795501768,10.180656153899415,6.254442123134026,-2.8403280769497066,2.095,5.6919
10,Ca1O1,0009596,1,0.7312885197292643,11.020274752984378,8.05900041111973,-3.2905001259273035,3.6404,6.9863
11,Co3O4,0009648,1,0.8710764618159339,,,-1.2318970816502175,1.6478,4.1201
12,Fe1O1,0009684,1,0.7440649767683543,,,-1.41,1.089,5.0763
13,Fe2Mg1O4,0009694,1,0.784298199999532,7.52907969539431,5.9050436527507815,-1.2626789622871115,1.3811,4.2252
14,Fe2O3,0009808,1,0.7887046717800215,7.862946519378256,6.2015426537900895,-1.2626789622871115,1.8317,3.5343
15,In2Mn1O4,0009859,1,0.7061597142930023,6.870377700172048,4.8515839538385075,-1.5993795332042406,1.035,4.2135
16,In2O3,0009889,1,0.7349027418378841,7.332995864895067,5.389038766997251,-1.5993795332042406,0.9505,3.7275
17,Co1In2O4,0009921,1,0.710427357201774,6.919981119195065,4.916143898395924,-1.2318970816502175,1.0102,4.052
18,In2Mg1O4,0009931,1,0.7410175559155412,6.706102215649429,4.9693394735603365,-1.5993795332042406,1.8489,4.4126
19,In2Ni1O4,0009944,1,0.7803714661673684,7.0397734962911,5.493638364786866,-1.242157708529182,0.4499,3.6058
21,In2Ni1O4,0009944,2,0.6678255879942615,7.0397734962911,4.7013408745070215,-1.242157708529182,0.4499,3.4805
23,Mg1O1,0009973,1,0.869308699906636,10.345144576146483,8.993124181836086,-3.116950431898758,4.4752,6.8887
24,Ni1O1,0010021,1,0.6714392555592507,9.524315417058364,6.394999253341163,-1.242157708529182,2.3894,3.7973
25,O1Sr1,0010079,1,0.6212690611498128,10.455647588229251,6.495770360852492,-3.067823794114626,3.2796,6.5707
26,Ba1O3Ti1,0010375,1,0.8846957092559807,8.740957750413717,7.7330878165788235,-1.9122077365342869,1.8599,5.3369
28,Ba1O3Ti1,0010375,2,0.5157563635739497,8.740957750413717,4.5082045835069104,-1.9122077365342869,1.8599,5.4037
30,Co1O1,0010389,1,0.7352495804018006,6.2788677084956195,4.616534848069819,-1.2318970816502175,1.0462,4.2751
31,Mn1O1,0010438,1,0.7213645062721523,6.3394715728709885,4.5730697811904255,-1.994603679653242,0.7035,4.4315
32,Co1O1,0010528,1,0.7488903439530972,6.3023912519392935,4.719799952391808,-1.2318970816502175,1.2341,4.3434
33,O3Sr1Ti1,0010541,1,0.5901811413554363,9.974515063486358,5.886770684635371,-1.9122077365342869,1.9408,5.396
34,O2Ti1,0010549,1,0.8868614921522668,9.809503279753725,8.699670715954944,-1.9122077365342869,2.2705,4.9268
35,Mn1O1,0010576,1,0.7107847378153,6.322739833066846,4.494106974520772,-1.994603679653242,0.8642,4.4297
36,O2Ti1,0010720,1,0.8652823434863623,9.898421478632224,8.564929333846635,-1.9122077365342869,1.9186,4.9636
37,O2Ti1,0010731,1,0.9359952825026301,6.6109353422456865,6.187804293271872,-1.9122077365342869,3.3933,5.9328
38,Mg1Mn2O4,0011233,1,0.8206565115520293,7.172572426286059,5.886218266210192,-0.5156224113418986,1.4257,4.1736
39,Mn3O4,0011304,1,0.7775248395308871,6.9954177217131495,5.43911104152654,-0.5156224113418986,1.2174,3.8859
41,Fe2Ni1O4,0011562,1,0.7887045412132515,7.415152590202971,5.848364521682289,-1.242157708529182,0.9691,3.7044
44,Fe2Ni1O4,0011562,2,0.7607087270058993,7.415152590202971,5.640771287447799,-1.242157708529182,0.9691,3.6121
47,Fe2Ni1O4,0011580,1,0.7271184139382252,7.7141903440607855,5.609129847791049,-1.242157708529182,1.2021,3.7345
49,Fe2Ni1O4,0011580,2,0.7459417359734579,7.7141903440607855,5.754336536878389,-1.242157708529182,1.2021,3.5181
51,Mn1O2,0011671,1,0.8974570176182062,6.759374010733628,6.0662476406390144,-0.433744681701679,0.1764,2.0859
52,Mn2Ni1O4,0011752,1,0.7738615770354246,6.66955580173936,5.161312970859787,-0.433744681701679,0.246,3.0575
56,Mn2Ni1O4,0011752,2,0.7741128385963277,6.66955580173936,5.162988773861063,-0.433744681701679,0.246,2.7852
60,O2Ti1,0011764,1,0.9050006897691567,9.57519283955455,8.665556124469559,-1.9122077365342869,2.2989,4.9109
62,O2Ti1,0011764,2,0.8473361584392884,9.57519283955455,8.113407116983534,-1.9122077365342869,2.2989,5.3669
64,Mn2Ni1O4,0011908,1,0.7764854967380923,7.058572632919305,5.480879277134251,-0.5156224113418986,1.162,3.539
66,Mn2Ni1O4,0011908,2,0.7577686283501376,7.058572632919305,5.348764902157081,-0.5156224113418986,1.162,3.5487
68,Fe2Mg1O4,0011911,1,0.8590430582656551,7.440837811164881,6.392000069361802,-1.2626789622871115,1.1513,3.8945
70,Fe2Mg1O4,0011911,2,0.8008110685328287,7.440837811164881,5.958705278338423,-1.2626789622871115,1.1513,3.772
72,Mn1Ni1O3,0012011,1,0.8031871851741935,7.275446393960101,5.8435453100505494,-0.433744681701679,1.5539,2.704
73,Mn1Ni1O3,0012072,1,0.8161126787067305,7.247269184815849,5.9145882677288055,-0.433744681701679,1.513,2.8808
74,Fe2Mn1O4,0012201,1,0.7543308891692024,7.574858757377115,5.713949941783399,-1.2626789622871115,1.2487,4.0848
76,Co1Fe2O4,0012299,1,0.7559608314114487,7.667902336525738,5.796633825501787,-1.2318970816502175,1.0425,4.0741
78,Ba1Mn1O2,0012370,1,0.6693153725523344,6.721868984065248,4.499050243317614,-1.994603679653242,1.7167,5.1318
79,Al2Ca1O4,0107269,1,0.9323512142230825,7.667674408309023,7.148965544854173,-2.8945619964631555,4.3548,6.4142
91,Al2Ca1O4,0107269,2,0.9411757843964067,7.667674408309023,7.2166294757364975,-2.8945619964631555,4.3548,6.185
103,Al2Ca1O4,0107269,3,0.9550459787583415,7.667674408309023,7.322981610083778,-2.8945619964631555,4.3548,6.3263
115,Al2Ca1O4,0107269,4,0.9362870181987732,7.667674408309023,7.179144008274698,-2.8945619964631555,4.3548,6.2954
127,Al2Ca1O4,0107269,5,0.9518439156198556,7.667674408309023,7.298429232503019,-2.8945619964631555,4.3548,6.4336
139,Al2Ca1O4,0107269,6,0.924153974217505,7.667674408309023,7.086111777444639,-2.8945619964631555,4.3548,6.2966
151,Al2Ca1O4,0107269,7,0.9158426667044248,7.667674408309023,7.022383377527008,-2.8945619964631555,4.3548,6.2656
163,Al2Ca1O4,0107269,8,0.9401639852523126,7.667674408309023,7.208871329332979,-2.8945619964631555,4.3548,6.3068
175,Al2Ca1O4,0107269,9,0.9489539806895849,7.667674408309023,7.2762701523965045,-2.8945619964631555,4.3548,6.1267
187,Al2Ca1O4,0107269,10,0.9760332848912284,7.667674408309023,7.483905440218262,-2.8945619964631555,4.3548,6.3209
199,Al2Ca1O4,0107269,11,0.9518486052216295,7.667674408309023,7.298465190842527,-2.8945619964631555,4.3548,6.3739
211,Al2Ca1O4,0107269,12,0.9459325495220837,7.667674408309023,7.253102801956988,-2.8945619964631555,4.3548,6.2817
